Identifiant de document;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain
;;;;;;;1;05/01/2022;Vente;217000;38;;RUE;16;DU BUGEY;1360;LOYETTES;1;224;;A;1085;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;;;S;;425
;;;;;;;1;05/01/2022;Vente;217000;38;;RUE;16;DU BUGEY;1360;LOYETTES;1;224;;A;1085;;;;;;;;;;;;0;1;Maison;;45;2;S;;425
;;;;;;;1;06/01/2022;Vente;59000;;;;B043;AU RAFFOUR;1800;VILLIEU-LOYES-MOLLON;1;450;;A;1734;;;;;;;;;;;;0;;;;;;AB;;134
;;;;;;;1;12/01/2022;Vente;61000;;;;B030;COTES MACONS;1470;BRIORD;1;64;;E;2249;;;;;;;;;;;;0;;;;;;AB;;134
;;;;;;;1;12/01/2022;Vente;61000;;;;B030;COTES MACONS;1470;BRIORD;1;64;;E;2251;;;;;;;;;;;;0;;;;;;AB;;137
;;;;;;;1;12/01/2022;Vente;61000;;;;B030;COTES MACONS;1470;BRIORD;1;64;;E;2256;;;;;;;;;;;;0;;;;;;AB;;162
;;;;;;;1;12/01/2022;Vente;61000;;;;B030;COTES MACONS;1470;BRIORD;1;64;;E;2261;;;;;;;;;;;;0;;;;;;AB;;164
;;;;;;;1;12/01/2022;Vente;61000;;;;B030;COTES MACONS;1470;BRIORD;1;64;;E;2266;;;;;;;;;;;;0;;;;;;AB;;173
;;;;;;;1;12/01/2022;Vente;66000;;;;B077;SUR PLAINE;1470;BRIORD;1;64;;E;2248;;;;;;;;;;;;0;;;;;;S;;819
;;;;;;;1;12/01/2022;Vente;66000;;;;B077;SUR PLAINE;1470;BRIORD;1;64;;E;2271;;;;;;;;;;;;0;;;;;;S;;445
;;;;;;;1;07/01/2022;Vente;230000;;;GR;140;GRANDE RUE;1800;BOURG-SAINT-CHRISTOPHE;1;54;;ZD;573;;;;;;;;;;;;0;;;;;;S;;18
;;;;;;;1;07/01/2022;Vente;230000;806;;GR;140;GRANDE RUE;1800;BOURG-SAINT-CHRISTOPHE;1;54;;ZD;586;;;;;;;;;;;;0;;;;;;S;;446
;;;;;;;1;07/01/2022;Vente;230000;806;;GR;140;GRANDE RUE;1800;BOURG-SAINT-CHRISTOPHE;1;54;;ZD;587;;;;;;;;;;;;0;;;;;;S;;4
;;;;;;;1;06/01/2022;Vente;385470;;;RUE;601;DES MURGERES;1800;MEXIMIEUX;1;244;;G;3198;;;;;;;;;;;;0;;;;;;AG;;38
;;;;;;;1;06/01/2022;Vente;385470;47;;CHE;110;DU CALVAIRE;1800;MEXIMIEUX;1;244;;G;3200;;;;;;;;;;;;0;1;Maison;;146;5;S;;373
;;;;;;;1;10/01/2022;Vente;102000;3;;RUE;72;MAZET;1450;PONCIN;1;303;;AB;87;;;;;;;;;;;;0;1;Maison;;70;4;S;;37
;;;;;;;1;13/01/2022;Vente;62000;5049;;PL;80;JEAN MOULIN;1480;BEAUREGARD;1;30;;AA;160;;10;33;20;;;;;;;;;1;2;Appartement;;25;1;;
;;;;;;;1;04/01/2022;Vente;156000;14;;RUE;1559;FRANCOIS ARAGO;1000;BOURG-EN-BRESSE;1;53;;BO;347;;4;280;0;;;;;;;;;1;4;Local industriel. commercial ou assimilé;;286;0;;
;;;;;;;1;07/01/2022;Vente;199000;;;;B086;MARAIS DE VIAL;1310;POLLIAT;1;301;;B;278;;;;;;;;;;;;0;;;;;;L;;2410
;;;;;;;1;07/01/2022;Vente;199000;461;;CHE;32;DU CHARVET;1310;POLLIAT;1;301;;B;595;;;;;;;;;;;;0;1;Maison;;95;6;S;;635
;;;;;;;1;07/01/2022;Vente;199000;461;;CHE;32;DU CHARVET;1310;POLLIAT;1;301;;B;595;;;;;;;;;;;;0;3;Dépendance;;0;0;S;;635
;;;;;;;1;07/01/2022;Vente;199000;;;;B159;VIAL;1310;POLLIAT;1;301;;B;596;;;;;;;;;;;;0;;;;;;VI;;1468
;;;;;;;1;05/01/2022;Vente;118000;329;;RUE;25;DES CARPIERES;1170;SEGNY;1;399;;AA;337;;31;;;;;;;;;;1;3;Dépendance;;0;0;;;
